 (New),(Mới)
Ho Chi Minh City (GMT+7),
Hook URL,
Hot,
Hot Lead Tasks,
Hot Leads (MQL),
Hour,
Hourly,
Hours,
How long jobs stay active on TopCV,
How often to sync data from Cal.com,
How often to sync data from TopCV,
How to categorize contacts from bookings,
Hoạt động,
Hybrid,
Hành động Tự động Ban đầu,
Hành động này không thể hoàn tác.,
Hành động này không thể hoàn tác. Tất cả dữ liệu liên quan sẽ bị xóa.,
Hành động này sẽ xóa kết nối với Zalo OA và dừng tất cả hoạt động tự động.,
Hình thức đưa vào :Thủ công hay tự động,
Hình ảnh chân dung ứng viên (nếu được yêu cầu).,
Hôm nay,Hôm Nay
Hệ thống tự động đề xuất/thực hiện hành động này.,
Họ và Tên,
Họ và tên *,
Hủy,Hủy
"ICO, PNG 16x16 or 32x32",
ID,
ID của Position từ ATS (dùng để tránh duplicate khi đồng bộ),
ID của Recruiter (người dùng) sở hữu hoặc quản lý phân khúc này.,Id của nhà tuyển dụng (người dùng) sở hữu hoặc quản lý phân Khúc nào.
"ID của account trên platform (page_id, oa_id, user_id)",
ID của tài khoản chính được kết nối,
ID:,
INTERNAL_NOTIFICATION,
INTERVIEW_CONFIRMED,Phỏng vấn_conf xác nhận
INTERVIEW_RESCHEDULED,Phỏng vấn_rescheduled
IP Address,
IP not allowed,
Icon,Biểu tượng
Identify who needs to be contacted immediately,
"If no segment is selected, the campaign will not be associated with any specific talent pool.",
"If you're passionate about making an impact and growing your career, we'd love to hear from you.",
Image,
Image Block,
Image URL,
Image uploaded successfully,
Immediate,
Immediately,
Import,Nhập
Import Another File,
Import CV,
Import Candidates,Nhập ứng viên
Import Data,
Import Details,
Import Excel,
Import Excel/CSV,
Import History,
Import Options,
Import Settings,
Import Summary,
Import Target,
Import Type,
Import Tâlent,
Import candidate CV and profile information,
Import candidate data from your ATS system to create talent profiles.,
Import candidates from CSV or Excel files.,Nhập ứng viên từ các tệp CSV hoặc Excel.
Import candidates from external ATS data sources.,
Import candidates from your ATS system.,
Import existing booking history,
Import failed,
Import failed: {0},
Import has been cancelled successfully.,
Import pools from your ATS system.,
Import position data from your ATS system to create talent pools.,
Import session cancelled successfully,
Import session deleted successfully,
Import session has been deleted successfully,
Importing Data,
Importing...,
In,TRONG
In Progress,Trong tiến trình
In selected time range,
In-depth analysis of skills and experience distribution,
Inactive,Không hoạt động
Inactivity Period,
Inactivity Timeout,
Include link preview,
Industry,
Industry is required,
Info,
Info Job,
Information has been sent!,Thông tin đã được gửi!
Input data is not in the correct format,Dữ liệu đầu vào không ở định dạng chính xác
Insert,
Insights Analytics,
Instagram Post Preview,
Integration,
Integration Settings,
Integration Webhooks,
Integrations,
Intelligently delay based on engagement,
Intelligently delay next action based on behavior,
Intelligently delay next action based on talent behavior,
Interaction,Tương tác
Interaction Method,
Interaction Notes,
Interaction Notes & Reviews,
Interaction Notes (Latest),
Interaction Rate,Tỷ lệ tương tác
Interaction Source Type,
Interaction Type,Loại tương tác
Interaction Weight,
Interactions,Tương tác
Internal Notification,
Internal Rating,
Interview,
Interview Link,
Interview Scheduled,
Interview stage completed,
Interview time scheduled,
Invalid API Base URL format,Định dạng URL cơ sở API không hợp lệ
Invalid Date,
Invalid Email,
Invalid Forma,
Invalid JSON format,Định dạng JSON không hợp lệ
Invalid Records,
Invalid crm_status value: '{0}'. Allowed values are: {1},
Invalid date,
Invalid email addresses,
Invalid email addresses in BCC field: {0},
Invalid email addresses in CC field: {0},
Invalid email addresses in To field: {0},
Invalid or inactive token,
Invalid segment IDs format,
Invalid source value: '{0}'. Allowed values are: {1},
Invalid talent names provided,
Invited,
Invited Email,
Is,Là
Is Active,Đang hoạt động
Is Conditional,
Is Default,Là mặc định
Is Default Action,
Is Default Template,
Is Default Trigger,
Is Deleted,
Is Empty,
Is Group,
Is Not Empty,
Is Premium,
Is Primary,
Is Standard,Là tiêu chuẩn
Is empty,
Is not,
Is not empty,
"It will make deal's ""Expected Closure Date"" mandatory to get accurate forecasting insights","Nó sẽ làm cho ""Ngày đóng cửa dự kiến"" của Deal để có được những hiểu biết chính xác về dự báo"
Items per page,Các mục trên mỗi trang
"JPG, PNG, GIF, MP4 up to 10MB",
JSON Project Data,Dữ liệu dự án JSON
JSON array of certifications,
JSON array of education records,
JSON array of languages and proficiency,
JSON array of work experience records,
JSON configuration for action parameters,
"JSON configuration for flows, triggers and actions",
JSON configuration for the action (optional),Cấu hình JSON cho hành động (tùy chọn)
JSON configuration for trigger conditions,
JSON được lấy từ editor.exportHtml hoặc editor.saveDesign,JSON ĐA
Job,
Job Application,
Job Benefits,
Job Board,Bảng công việc
Job Boards,
Job Code,
Job Description,
Job Detail,
Job Details,
Job Information,
Job Management Settings,
Job Match,
Job Opening,
Job Opening (Optional),
Job Openings,
Job Position,Vị trí công việc
Job Posting,
Job Posting Preview,
Job Requirement,
Job Requirements,
Job Title,
Job Title is required,
Job Titlle,
Job Url,
Job benefits,
Job description,
Job duration should be between 1 and 365 days,
Job not found,
Job opening details,
Job opening has been created successfully,
Job opening has been updated successfully,
Job opening updated successfully,
Job posted successfully on Facebook: {0},Công việc được đăng thành công trên Facebook: {0}
Job posted successfully on LinkedIn: {0},Công việc được đăng thành công trên LinkedIn: {0}
Job posted to,
Job posted to Facebook successfully!,
Job posting image,
Job requirements,
Job title already exists: {0},
"Job title, position, and department",
Job will be posted to your connected,
Job:,
JobBoard,Bảng làm việc
JobTitle require,
John Doe,John Doe
Join our amazing team and make a difference!,
Just now,
Kanban,Kanban
Kanban Columns,Cột Kanban
Kanban Fields,Cánh đồng Kanban
Kanban Settings,
Keep it concise and compelling (recommended: 30-50 characters),
Keep it short and clear (max 160 characters),
Keep message concise and caring,
Keep message concise and clear,
Keep this secure - never share publicly,
Khoảng cách trung bình,
Khoảng thời gian giữa các lần đồng bộ (phút),Khoảng thời Gian Giữa Các lần Đồng Bộ (Phút)
Khác,
Khóa bí mật xác thực toàn vẹn dữ liệu,
Không có dữ liệu,
Không hoạt động,
Không lấy được thông tin LinkedIn user.,
Không thể cập nhật trạng thái pool,
Không thể đăng bài lên LinkedIn: {0},
Không tìm thấy DocType '{0}',Không tìm thấy doctype '{0}'
Không tìm thấy file với tên: {0},Không tìm thấy file với Tênn: {0}
Kênh Nguồn,
Kênh tương tác nhiều nhất,
Kích hoạt hoặc tắt nguồn dữ liệu này,Kích hoạt hoặc tắt ngger dữ liệu nào
Kết nối Zalo OA,
Kết nối Zalo Official Account để chia sẻ tin tuyển dụng,
Kết quả,
Kỹ năng & Kinh nghiệm,
Kỹ năng Chính (Tags),
LEAD_SCORE,
Label,Nhãn
Ladi Page Editor,Trình chỉnh sửa trang Ladi
Ladi Page View,Xem trang Ladi
Ladi Pages,Trang ladi
Ladi page deleted successfully,Trang ladi đã xóa thành công
Ladi page saved successfully,Trang ladi đã lưu thành công
LadiPage ID,
LadiPage URL,
LadiPage Url,
Ladipage Id,
Ladipage Url,
Landing Page,
Landing Page & CTA Link,
Landing Page Template,
Landing Page URL,
Landing page settings,
Languages,
Last 6 Months,6 tháng qua
Last API Call,
Last Activity,
Last Connected At,
Last Contact,Liên hệ cuối cùng
Last Disconnected At,
Last Engagement Update,
Last Error,Lỗi cuối cùng
Last Interaction,Tương tác cuối cùng
Last Interaction Date,
Last Mira Interaction,
Last Modified,Sửa đổi lần cuối
Last Month,Tháng trước
Last Quarter,Quý trước
Last Sync,Đồng bộ hóa cuối cùng
Last Sync At,Đồng bộ hóa cuối cùng tại
Last Sync Time,
Last Sync:,
Last Token Refresh,
Last Updated,Cập nhật lần cuối
Last Used,
Last Used At,
Last Webhook Received,
Last Week,Tuần trước
Last Year,Năm ngoái
Last page,
Last posted,
Last sync,
Last updated,Cập nhật lần cuối
Last updated: ,Cập nhật lần cuối:
Latest Company,
Latest Title,
Latest:,
"Learn More, Apply Now, Contact Us...",
"Leave empty for default Cal.com, or enter your self-hosted URL",
Leave empty or enter valid JSON. Example: {key: value},Để trống hoặc nhập JSON hợp lệ. Ví dụ: {key: value}
Leave empty to post immediately,
Leave empty to send immediately,
Leave empty to show all talents,
Leave your contact information,
Left,
Less Than,
Less Than or Equal,
Less than,
Level,
Level (optional),Cấp độ (tùy chọn)
Library,Thư viện
Like,Giống
Link,Liên kết
Link Click,
Link Click Activity,
Link Clicked,
Link Name,
Link URL,
Link copied to clipboard,
Link in bio to apply!,
Link job openings to a specific job (optional),
Link segment to a specific (optional),
Link to documentation or additional resources,
Link to landing page,
Link đăng nhập ủy quyền,
LinkedIn,LinkedIn
LinkedIn Profile,
LinkedIn URL,
LinkedIn profile is required,
Linkin,
Links,
List,Danh sách
List Pages,
List View,
List of attachment paths,Danh sách các đường dẫn đính kèm
List of recipients with the highest engagement with your messages.,
Liên kết đến Mira Segment.,
Load Default Columns,Tải các cột mặc định
Load Error,
Load More,
Loaded,
Loading activities...,
Loading candidate pool details...,Đang tải chi tiết nhóm ứng cử viên ...
Loading candidates...,
Loading connections...,
Loading content...,Đang tải nội dung ...
Loading data...,Tải dữ liệu ...
Loading email editor...,
Loading flows...,
Loading form...,Đang tải mẫu ...
Loading history...,
Loading import history...,
Loading interactions...,
Loading job openings...,
Loading legacy email format. Consider recreating with new editor.,
Loading pages...,
Loading published pages...,
Loading sequence...,
Loading social posts...,
Loading steps...,Đang tải các bước ...
Loading sync history...,
Loading talent pools...,Đang tải các nhóm tài năng ...
Loading talents...,
Loading template details...,Tải chi tiết mẫu ...
Loading template...,Tải mẫu ...
Loading templates...,Tải mẫu ...
Loading...,Đang tải...
Local time,
Location,Vị trí
Location (JSON Array),
Location (optional),Vị trí (tùy chọn)
Location Name,
Location:,
Log Type,
Login URL,
Login to Frappe Cloud?,Đăng nhập vào Frappe Cloud?
Login to your TopCV employer account,
Logo,Logo
Long URL,URL dài
Low,
Loại hành động,
"Loại phân khúc: DYNAMIC (AI tự động cập nhật), MANUAL (người dùng tự quản lý).","Loại Phân Khúc: Dynamic (ai Tự Động Cập NHật), Hướng dẫn sử dụng (người Dùng tự Quản Lý)."
"Loại tài năng (Backend, Frontend, Data Scientist,...) của ứng viên.",
Làm mới,
Làm mới Templates,
Làm mới templates thành công,
Làm mới templates thất bại,
Lưu ý quan trọng:,
Lấy thông tin sử dụng AI,
Lần gần nhất tương tác,
Lần đầu tương tác,
Lỗi,
Lỗi khi upload file từ extract CV: {0},
Lời chào ứng viên,
MANUAL,THỦ CÔNG
MANUAL_CALL,CANUAL_CALL
MANUAL_TASK,CANUAL_TASK
MBW ATS,MBW ATS
MESSAGE,
MJML Template Content,
Main Information,
Make Private,Làm cho riêng tư
Make Public,Công khai
Make attachment {0},
Make private,
Make public,
Make {0},
Male,
Manage,Quản lý
Manage Page Info,
Manage Page Posts,
Manage and track candidate information in the system,Quản lý và theo dõi thông tin ứng viên trong hệ thống
Manage blacklisted email addresses to prevent unwanted contacts,
Manage daily CRM activities and talent engagement,
Manage email templates for campaigns and communications,
Manage external integrations and data source connections,
Manage shortlinks for campaigns and communications.,
Manage tags to organize and categorize your contacts,
Manage your connections to external platforms,
Manager,Giám đốc
Mandatory field error: {0},Lỗi trường bắt buộc: {0}
Manual,Thủ công
Manual Call,Cuộc gọi thủ công
Manual Creation,
Manual Task,Nhiệm vụ thủ công
Manual Tasks:,Nhiệm vụ thủ công:
Manually,Bằng tay
Map Columns to Fields,Bản đồ cột đến các trường
Map your file columns to job opening fields,
Mapping Issues,
Mark all as read,Đánh dấu tất cả như đọc
Marketing & Personal Interaction History,
Marketing & SEO,
Marketing Recruitment,
Marketing tag is added,
Marketing tag is removed,
Master,
Master's Degree,Bằng thạc sĩ
Match Score,Điểm trận đấu
"Max (e.g., 20M)",
Max Budget,
Max Experience (Years),
Max Retries,
Max Retry Attempts,
Max bookings per day,
Max retries should be between 1 and 10,
Max retry attempts,
Max salary,
Maximum,Tối đa
Maximum 1000 characters,Tối đa 1000 ký tự
Maximum 200 characters,Tối đa 200 ký tự
Maximum Salary,Mức lương tối đa
Maximum number of bookings per day,
Maximum number of retry attempts for failed requests,
Maximum resume searches per day,
Maximum retry attempts for failed requests,
Media Attachment,
Media Posts,
Medium,
Meeting,Cuộc họp
Mention,Đề cập đến
Message,Tin nhắn
Message Blocks,
Message Broadcasting,
Message Channel,
Message Content,
Message Content Template,
Message Image,
Message Preview,
Message Sent,
Message Template {0},
Message Templates,
Message Text,
Message Text Template,
Message Type,
Message content,
Message delivered successfully,
Message delivery failed,
Message image,
Message is required,
Message sent to candidate,
Message will be sent,
Message/email failed to send,
Message/email sent successfully,
Message:,
Messaging,
Messaging Platforms,
Messenger,
Meta Description,
Meta Title,
Metadata,
Metadata JSON,
Metadata bổ sung của tài khoản,
"Min (e.g., 10M)",
Min Budget,
Min Experience (Years),
Min Years of Experience (YOE),
Min salary,
Minimum Match Score,Điểm trận đấu tối thiểu
Minimum Required Fields,
Minimum Salary,Mức lương tối thiểu
Minimum hours in advance for bookings,
Minute,
Minutes,
Mira,Mira
Mira ATS Sync Log,
Mira ATS Sync Log Item,
Mira Access Token,
Mira Action,
Mira Action Template,
Mira Applicant,
Mira Automation Trigger,
Mira BlackList,
Mira Campaign,Chiến dịch
Mira Campaign Builder Page,
Mira Campaign QR,
Mira Campaign Social,
Mira Campaign Social Attachment,
Mira Campaign Step,Chiến dịch
Mira Campaign Template,Chiến dịch
Mira Campaign Template Social,
Mira Data Source,Ứng cử viên
Mira Email Log,Emaillog
Mira Email Template,
Mira Email Template Editor,EmailTemplateDitor
Mira Engagement Summary,
Mira External Connection,
Mira External Connection Account,
Mira Flow,
Mira Flow Action,
Mira Flow Template,
Mira Flow Trigger,
Mira Form Attraction,
Mira Form Script,Mira Form Script
Mira ImportSessionLog,
Mira Importsession,
Mira Integration,
Mira Interaction,
Mira Interaction Type,
Mira Interaction will be recorded,
Mira Job Opening,
Mira Job Share Log,
Mira Ladi Page,Ladipage
Mira Notification,Thông báo Mira
Mira Pool Vecto,
Mira ResumeUploadFile,
Mira ResumeUploadLog,
Mira ResumeUploadSession,
Mira Segment,
Mira Sequence,
Mira Settings,Cài đặt Mira
Mira Short URL,Url ngắn
Mira Social Media Token,
Mira Step Template,Chiến dịchTemplatestep
Mira Tag,
Mira Talent,
Mira Talent Campaign,TalentProfileScampaign
Mira Talent Pool,
Mira Talent Pool Campaign,
Mira Talent Tracking,
Mira Talent Vecto,
Mira Task,
Mira Task Definition,
Mira Task Definition Action,
Mira Trigger Template,
Mira View Settings,Cài đặt Mira View
Missing Email,
Missing Phone,
Missing campaign_id,Thiếu chiến dịch_id
Missing data,Thiếu dữ liệu
Missing or invalid Authorization header,
Missing required field: {0},
Missing required fields:,Thiếu các trường bắt buộc:
Missing slug,Thiếu sên
Mission,
Mjml Content,
Modified,Sửa đổi
Modified By,Sửa đổi bởi
Modified Date,
Modified On,
Modified:,Đã sửa đổi:
Month,
More,Hơn
Most Used,Được sử dụng nhiều nhất
Move Candidate,
Move Candidate to Step,
Move Down,Di chuyển xuống
Move Up,Di chuyển lên
Move down,Di chuyển xuống
Move to Step,
Move to next section,Di chuyển sang phần tiếp theo
Move to next tab,Di chuyển sang tab tiếp theo
Move to previous section,Di chuyển sang phần trước
Move to previous tab,Di chuyển sang tab trước
Move up,Di chuyển lên
Moved tag down,
Moved tag up,
Moving to:,
My Button,
My Open,
My Tasks,Nhiệm vụ của tôi
My Template,
My Templates,
"Mô tả chi tiết về tiêu chí, mục đích của phân khúc này.","Mô tả Chi Tiết Về TiÊU Chí, Mục Đích Của Phân Khúc Nào."
Mô tả công việc,
Mô tả mục đích chính của chuỗi tin nhắn (Liên kết với mục tiêu Campaign).,
Mô tả:,
Mảng vector nhúng lưu dưới dạng chuỗi JSON.,
Mục đích Form,
Mức lương Mong muốn,
N/A,
NURTURING,Nuôi dưỡng
Name,Tên
Naming Series,
"Navigate to ""API Settings"" or ""Developer Settings"" section",
Need help? Contact us via email or hotline,Cần giúp đỡ? Liên hệ với chúng tôi qua email hoặc đường dây nóng
Nested conditions,
Network Error,
"Network connection error, please try again","Lỗi kết nối mạng, vui lòng thử lại"
Network error,
New,Mới
New Attraction Campaign,
New Campaign,
New Comment,
New Lead,
New Nurturing Campaign,
New Password,Mật khẩu mới
New Profiles,
New Section,Phần mới
New Status,
New Tab,Tab mới
New Talents,
New Template,
New Value,
New job alert!,
New job opening! Apply now...,
New job opportunity! Check it out...,
New tag name (VD: Webinar MBWN DMS 2110),
New tag name (e.g: Webinar MBWN DMS 2110),
New talent enters the system,
New {0},Mới {0}
Next,Kế tiếp
Next 6 Months,6 tháng tới
Next Action At,Hành động tiếp theo tại
Next Business Day,
Next Flow,
Next Flow Template,
Next Month,Tháng tới
Next Quarter,Quý tới
Next Runtime Action,
Next Sync Time,
Next Week,Tuần tới
Next Year,Năm tới
Next page,Trang tiếp theo
Nguồn Gốc & Chiến dịch,
"Nguồn gốc chiến dịch (ví dụ: facebook, google, newsletter)",
Ngày Thu thập (Lead Date),
Ngày Tái liên hệ Dự kiến,
Ngày mai,Ngào Mai
Ngày tạo,
Người tạo nguồn dữ liệu này,Người tạo nguồn dữ liệu nào
Người được giao,
Ngắt kết nối Zalo OA,
"Nhập URL và nhấn ""Lấy thông tin"" để xem các vị trí làm việc",
Nhập URL website công ty,
Nhập họ và tên,
No,KHÔNG
No Action,
No Connected Platforms,
No Data,Không có dữ liệu
No Data Available,Không có dữ liệu có sẵn
No Data Found,
No Facebook Pages Found,
No Facebook connection found,
No Files Selected,
No Interactions Yet,
No JSON payload found in request,Không tìm thấy tải trọng json trong yêu cầu
No Ladi pages found,Không tìm thấy trang ladi
No Pages Found,
No Published Pages,
No QR codes yet,
No SMS content,
No UI configuration available for this action type.,
No URL to save,
No Zalo connection found,
No access token available. Please re-authenticate with Facebook.,Không có mã thông báo truy cập có sẵn. Please re-authenticate with Facebook.
No accounts connected,
No accounts connected yet. Complete authentication to see connected accounts.,
No action buttons yet,
No actions,
No actions added yet,
"No actions added yet. Click ""Add Action"" to get started.",
No actions configured,
No actions found,Không tìm thấy hành động
No active ATS connections found,
No active campaigns yet,Chưa có chiến dịch hoạt động nào
No additional actions added,
No applicant data available.,Không có dữ liệu ứng viên có sẵn.
No applications found,Không tìm thấy ứng dụng
No blacklisted emails found,
No campaign ID available for testing,
No campaigns found,Không tìm thấy chiến dịch
No campaigns to display,Không có chiến dịch nào để hiển thị
No candidate pool information found.,Không tìm thấy thông tin nhóm ứng cử viên.
No candidates found,Không tìm thấy ứng cử viên
No candidates in this step,
No candidates yet,Chưa có ứng cử viên nào
No channels added yet,
No channels selected,
No channels selected. Please add channels above to see customization options.,
No content,
No content available,Không có nội dung có sẵn
No content to export,Không có nội dung để xuất khẩu
No content yet,
No data available,Không có dữ liệu có sẵn
"No data found, please try again or select a different source.",
No data received,
No data returned,
No data sources,Không có nguồn dữ liệu
No data sources yet,Chưa có nguồn dữ liệu nào
No data submitted,Không có dữ liệu được gửi
No delay - will execute immediately,
No description,Không có mô tả
No description available,
No description provided,Không có mô tả được cung cấp
No draft campaign found,Không tìm thấy chiến dịch dự thảo
No email content,
No email logs found,Không tìm thấy nhật ký email
No email templates found,
No engagement for set period,
No errors,
No failed rows found to export,
No failed rows to retry,
"No field mappings yet. Click ""Add Mapping"" to create one.",
No fields found,
No file selected,
No file uploaded,
No files provided in the request.,
No flows,
No import history found,
No information,Không có thông tin
No information available,Không có thông tin có sẵn
No interaction data yet,
No interaction method selected,
No label,Không có nhãn
No link click data yet,
No logs match the current filter,
No longer in use,
No message content yet...,
No messages,
No messages yet,
No new notifications,Không có thông báo mới
No pages available for this connection,
No pages found matching your search.,
No pages or accounts found,
No pages or accounts were found for this platform. Try syncing to refresh the list.,
No permission to delete Segment {0},
No permission to delete Talent {0},
No pools found,
No position information available,Không có thông tin vị trí có sẵn
No preview available,
No profiles assigned,Không có hồ sơ được chỉ định
No recently completed campaigns,Không có chiến dịch nào đã hoàn thành gần đây
No records,
No refresh token available. Please re-authenticate with LinkedIn.,Không có mã thông báo làm mới có sẵn. Vui lòng xác thực lại với LinkedIn.
No requirement,Không có yêu cầu
No response from candidate,
No results for,
No results found,Không tìm thấy kết quả
No segments available,Không có tiêu chí có sẵn
No sensitive credentials need to be entered manually,
No sharing history,
No shortlinks found,
No skill,
No social media connections available,
No social media posts,
No social media posts have been created for this campaign yet.,
No social posts,
No steps configured,Không có bước được cấu hình
No steps defined yet,Chưa có bước nào được xác định
"No steps defined yet. Click ""Add Step"" to get started.","Chưa có bước nào được xác định. Nhấp vào ""Thêm bước"" để bắt đầu."
No steps found,Không tìm thấy các bước
No subject,
No sync history found,
No tags assigned,
No tags found,
No talent found,
No talent pools found,Không tìm thấy nhóm tài năng nào
No talent pools yet,Chưa có tài năng nào
No talent profile found,Không tìm thấy hồ sơ tài năng
No talents found,
No template ID provided,Không có ID mẫu được cung cấp
No template data available,Không có dữ liệu mẫu có sẵn
No templates available,
No templates found,Không tìm thấy mẫu
No templates found matching your search,
No triggers added yet,
No triggers configured,
No triggers found,
No upload sessions found.,
No valid data found in file,
No valid talents to delete,
No {0} Available,Không có {0} có sẵn
None,Không có
Not Connected,
Not Equals,Không bằng
Not In,Không phải vào
Not Interested,
Not Like,Không thích
Not Saved,Không được lưu
Not permitted,
Not published yet,
Not scheduled yet,
Not set,Không đặt
Not specified,Không được chỉ định
Not synced,Không được đồng bộ hóa
Not yet interacted,
Note,Ghi chú
Note Added,
Notes,Ghi chú
Notification,
Notification Message,
Notification Settings,
Notification Template,
Notification Text,Văn bản thông báo
Notification Title,
Notification Type Doc,Loại thông báo tài liệu
Notification Type Doctype,Loại thông báo DOCTYPE
Notifications,Thông báo
Notify Recruiter,
Notify marketing team,
Notify nurturing team,
Notify recruitment team,
Number Of Openings,
Number of candidates must be >= 0,Số lượng ứng cử viên phải> = 0
Number of days to wait before executing this step,Số ngày phải đợi trước khi thực hiện bước này
Number of positions,
Number of retries on failure,
Nurture,
Nurture Campaign,
Nurturing,Nuôi dưỡng
Nurturing Campaign,
Nurturing Campaign Information,
Nurturing Funnel,
Nurturing Interaction,
Nurturing Settings,
Nurturing check failed: {0},
Nurturing email bounced,
Nurturing message delivered,
Nurturing message failed,
Nurturing sequence step completed,
Nurturing status changed,
Năm kinh nghiệm tối thiểu yêu cầu.,
Nội dung HTML đã render,Nội phân html / render
"Nội dung cụ thể/biến thể quảng cáo (ví dụ: bannerA, textlink_footer)",
OA,
OA ID:,
OA:,
OAuth Configuration,
OAuth Setup Instructions:,
OAuth State,
OAuth redirect URL after authentication,
OAuth2,OAuth2
ON_BIRTHDAY,
ON_CREATE,
ON_EMAIL_BOUNCE,
ON_EMAIL_OPEN,
ON_EMAIL_REPLY,
ON_FORM_SUBMISSION,
ON_INACTIVITY_TIMEOUT,
ON_JOB_APPLICATION,
ON_LINK_CLICK,
ON_SCHEDULED_TIME,
ON_SCORE_REACHED,
ON_SEND_FAILED,
ON_SEND_SUCCESS,
ON_SEQUENCE_COMPLETED,
ON_STATUS_CHANGED,
ON_TAG_ADDED,
ON_TAG_REMOVED,
ON_UNSUBSCRIBE,
ON_UPDATE,
ON_USER_RESPONSE,
ORGANIZATION,
Objective,Khách quan
Offer,
Offer Accepted,
Offered,Ngỏ ý
Official Account,
Old Parent,
On Create,
On Email Bounce,
On Email Open,
On Email Reply,
On Failure,
On Form Submission,
On Inactivity Timeout,
On Job Application,
On Link Click,
On Scheduled Time,
On Score Reached,
On Send Failed,
On Send Success,
On Sequence Completed,
On Status Changed,
On Success,
On Tag Added,
On Tag Removed,
On Unsubscribe,
On Update,
On User Response,
On-site,
Online,
Only PDF files are accepted,
Only PDF files are allowed. File: {0},
Only POST method is allowed,
Only PUT method is allowed,
Only active flows are shown. Delay will be configured in the selected flow.,
Only image files are allowed,Chỉ cho phép tệp hình ảnh được phép
"Only image files are allowed (JPG, PNG, GIF, WebP, SVG)",
Only you can see and use this template,
Open,
Open Count,
Open Graph Description,
Open Graph Title,
Open Link,
Open Rate,Tỷ lệ mở
Open Rate (OR),
Open nested conditions,
Opened,
Opened Email,
Operation completed successfully,
Operation failed,
Operation successful!,Hoạt động thành công!
Operations & Monitoring,
Operator,
Opt out from marketing emails,Từ chối các email tiếp thị
Opted Out,
Optional,
Options,Tùy chọn
Or enter image URL below,
Or upload an image:,
Order,Đặt hàng
Order By,Đặt hàng bởi
Order Number,
Order in which this trigger should be evaluated,
Order...,Đặt hàng...
Organization,
Original Data (JSON),
Original import file no longer exists. Cannot retry.,
Other,Khác
Other Email,
Outlook Calendar,
Overall Potential Score,
Overview,
Overview Dashboard,Tổng quan Dashboard
Owner,Người sở hữu
Owner ID,ID chủ sở hữu
Owner Id,
PAGE_VISITED,Trang_visited
PAUSED,Tạm dừng
"PDF, DOC, DOCX up to 10MB",
PENDING_MANUAL,Đang chờ xử lý_manual
"PNG, JPG (max 5MB)",
"PNG, JPG up to 2MB",
"PNG, JPG, GIF up to 10MB",
"PNG, JPG, GIF, WebP or SVG (max 5MB)",
"PNG, JPG, PDF, DOC, DOCX up to 10MB",
"PNG, JPG, SVG up to 5MB",
POST_FACEBOOK,
POST_LINKEDIN,
POST_TOPCV,
POST_TO_FACEBOOK,
POST_TO_ZALO,
PRIVATE,
PUBLIC,
Page,Trang
Page ID,
Page Information,
Page Ready,
Page Title,Tiêu đề trang
Page Title is required,Tiêu đề trang được yêu cầu
Page URL not available,
Page Visited,
Page created successfully,
Page info updated successfully,Thông tin trang được cập nhật thành công
Page not found,Không tìm thấy trang
Page published successfully,
Page updated successfully,
Page view,
Page {0} of {1},Trang {0} của {1}
Pages Management,
Pages auto-synced successfully,
Pages synced automatically,
Pages synced successfully,
Parameter 'days' is required,
Parameters,
Parent Mira ResumeUploadFile,
Parent flow reference (optional),
Parent flow reference if this is a child template,
Partially Completed,
Pass,Vượt qua
Passive,
Password updated successfully,Mật khẩu được cập nhật thành công
Paste PDF URL,
Paused,Tạm dừng
Payment Reminder,
Payment Reminder from Frappé - (#{{ name }}),
Pending,
Pending Approval,
Pending Confirmation,Đang chờ xác nhận
Pending Manual,Hướng dẫn đang chờ xử lý
Permissions,
Permissions Config,
Personal Account,
Personal Information,Thông tin cá nhân
PhD,Tiến sĩ
Phone,Điện thoại
Phone Call,Cuộc gọi điện thoại
Phone Number,Số điện thoại
Phone Number 1,
Phone Number 2,
Phone number,
Phân khúc Tài năng,
Phòng ban,
"Phương thức xác thực API: API Key (TopCV), OAuth2 (Facebook, LinkedIn), Basic","Phương thức xátc thực API: API Key (TopCV), OAuth2 (Facebook, LinkedIn), BASIC"
"Phương tiện truyền thông (ví dụ: cpc, social, email)",
Pin View,Chế độ xem pin
Pinned,Ghim
Pinned Views,Quan điểm ghim
Pipeline Tracking,
Platform,
Platform Connection,
Platform Details,
Platform Name,
Platform Response Data,
Platform Type,
Platform disconnected successfully,
Platform:,
Please add at least one channel to continue,
Please add content to your Facebook post,
Please allow popups to complete authentication.,
Please choose how you want to create a job opening.,
Please choose how you want to create a talent pool.,
Please choose how you want to create a talent.,
Please complete all required fields,
Please complete authentication in the new window.,
Please complete existing conditions before adding new ones,
Please configure an ATS data source first.,
Please connect your social media accounts first,
Please create a landing page first,
Please ensure your Facebook connection has active pages to post to.,
Please enter Job Title,
Please enter Job Title before continuing,
"Please enter a valid LinkedIn profile URL (e.g., https://linkedin.com/in/username)",
Please enter a valid URL,Vui lòng nhập URL hợp lệ
Please enter a valid URL for LinkedIn profile,
Please enter a valid email address,
Please fill in all required fields,
Please fill in the information and upload your CV,Vui lòng điền thông tin và tải lên CV của bạn
Please fix form errors before testing,
Please fix the conditions before saving,
Please fix the errors in the form,
Please fix the following issues:,
Please go back to Step 1 to select an interaction method,
Please go to Sync History to Retry or Cancel the existing sync log.,
